Dimension,Concept,Similarity,Shift_Status,Cold_War_Context,Post_Cold_War_Context
维度四: 经济贸易,globalization,0.3562074899673462,🔥 剧烈偏移,"globalisation, interrelatedness, closely_knit, outdate, regressive, weak_vulnerable, rudimentary, closely_interrelate, malfunctioning, parochialism","globalization_liberalization, interdependence, trade_liberalization, globalized, interdependent, liberalization, globalize, technological, regionalization, artificial_intelligence"
维度一: 政治法律,governance,0.3999350368976593,🔥 剧烈偏移,"antiquated, agrarian, ordering, update, interact, mould, sweeping, radically_alter, administrative_structure, evolutionary_process","participatory, good_governance, functioning, transparent_accountable, oversight, functional, institution, institutional, financial_architecture, popular_participation"
维度六: 科技文化,innovation,0.512140154838562,⚠️ 中度偏移,"rationalization, haphazard, modernize, institutional, streamline, streamlining, regulatory, functional, reorganize, production_consumption","science_technology, digital, information_communication, information_technology, harness, technology_ict, leverage, creativity, technology, digitalization"
维度五: 环境资源,climate_change,0.5229471921920776,⚠️ 中度偏移,"global_warming, greenhouse_effect, biodiversity, depletion_ozone, ozone_layer, layer, climatic_change, acid_rain, trans_boundary, framework_convention","global_warming, climate, loss_damage, impact_climate, environmental, micronesia, drought_desertification, cop, emission, desertification"
维度四: 经济贸易,sustainable_development,0.5409073233604431,⚠️ 中度偏移,"environmental_protection, protection_environment, environmentally_sound, integrated, sustainable, coherent, conservation, environmental, ecological, planning","sustainability, development, sdgs, sdg, developmental, sustainable, poverty_eradication, mdgs, environmental_sustainability, gender_equality"
维度五: 环境资源,renewable_energy,0.5843408703804016,⚠️ 中度偏移,"utilization, renewable, renewable_source, exploration, source_energy, rational_exploitation, tap, hydrocarbon, fossil_fuel, forestry","energy_efficiency, clean_energy, renewable, geothermal_energy, solar_energy, hydropower, source_energy, fossil_fuel, renewable_source, hydro"
维度三: 安全冲突,terrorism,0.5974243879318237,⚠️ 中度偏移,"terrorist, hijacking, taking_hostage, drug_trafficking, crime, combat_terrorism, drug_traffic, piracy, perpetrator, violence","fight_terrorism, combat_terrorism, terrorism_extremism, terrorist, extremism_terrorism, terror, extremism, transnational_crime, counter, violent_extremism"
维度五: 环境资源,biodiversity,0.611019492149353,⚠️ 中度偏移,"climate_change, biological_diversity, framework_convention, marine_environment, trans_boundary, protection_ozone, wildlife, tropical_forest, geostationary_orbit, scientific_research","biological_diversity, conservation, ecosystem, marine_environment, forest, marine_ecosystem, mountain_ecosystem, conserve, terrestrial, ozone_layer"
维度一: 政治法律,diplomacy,0.6495593190193176,⚠️ 中度偏移,"multilateral_diplomacy, quiet_diplomacy, negotiator, quiet, tact, skilful, skill, steer, purposeful, dynamism","preferred, mediation, moderation, resolve_difference, dialogue, constructive_dialogue, discourse, mutual_understanding, multilateralism, politic"
维度六: 科技文化,technology_transfer,0.6506173610687256,⚠️ 中度偏移,"transportation, marketing, transfer_technology, soft_loan, availability, easy_access, hard_currency, compensatory, production_distribution, inflow","transfer_technology, capacity_building, concessional, access_concessional, debt_relief, technical_assistance, market_access, adequate_predictable, access_market, fast_track"
